precision,recall,f1,fuzzy_score,cosine_similarity,max_cosine_similarity,min_cosine_similarity,boundary_overlap,orig_count,proc_count,file
0.0,0.0,0.0,0.0,0.5408186316490173,0.7837305665016174,0.31595155596733093,0.0,1,3,ARTHROTEC.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,LIPITOR.4
0.16666666666666666,0.14285714285714285,0.15384615384615383,14.285714285714286,0.8312268257141113,1.0000001192092896,0.6570601463317871,0.014285714285714287,7,7,PENNSAID.3
0.0,0.0,0.0,0.0,0.6392744183540344,0.7726200819015503,0.3796059489250183,0.0,5,5,ARTHROTEC.109
0.16666666666666666,0.18181818181818182,0.17391304347826086,28.76923076923077,0.8553769588470459,1.0000001192092896,0.33427321910858154,0.0,13,13,LIPITOR.483
0.0,0.0,0.0,13.714285714285714,0.602462112903595,1.0000001192092896,0.2357138693332672,0.07142857142857142,3,7,ARTHROTEC.97
0.0,0.0,0.0,4.357142857142857,0.47375455498695374,0.7240692973136902,0.12319526076316833,0.018315018315018312,4,14,LIPITOR.191
0.0,0.0,0.0,0.0,0.6625620722770691,1.0000001192092896,0.16291505098342896,0.0,5,9,LIPITOR.287
0.0,0.0,0.0,0.0,0.6564393043518066,0.8239163756370544,0.44597959518432617,0.0,3,6,LIPITOR.305
0.0,0.0,0.0,0.0,0.4692683219909668,0.6259210109710693,0.3140675723552704,0.0,1,3,LIPITOR.633
0.07692307692307693,0.1111111111111111,0.09090909090909093,7.142857142857143,0.8371685743331909,1.0000001192092896,0.30511435866355896,0.03968253968253969,10,14,LIPITOR.461
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,VOLTAREN-XR.13
0.0,0.0,0.0,0.0,0.6741806268692017,1.000000238418579,0.15516051650047302,0.0,7,13,LIPITOR.579
0.0,0.0,0.0,0.0,0.805772602558136,1.0000001192092896,0.22309035062789917,0.0,3,4,LIPITOR.594
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,2,LIPITOR.778
0.4,0.5,0.4444444444444445,57.333333333333336,0.7914156913757324,1.0,0.21512416005134583,0.2371794871794872,5,6,LIPITOR.244
0.1,0.14285714285714285,0.11764705882352941,10.0,0.7369741797447205,1.0,0.35176873207092285,0.08571428571428572,8,10,LIPITOR.641
0.14285714285714285,0.14285714285714285,0.14285714285714285,39.285714285714285,1.0,1.0000001192092896,1.0,0.0,7,7,ARTHROTEC.25
0.16666666666666666,0.2,0.1818181818181818,19.0,0.7395076751708984,1.0,0.3342733383178711,0.0,5,6,LIPITOR.810
0.2727272727272727,0.3,0.28571428571428564,54.0,0.7423898577690125,1.0000001192092896,0.24665990471839905,0.011904761904761904,11,12,LIPITOR.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,LIPITOR.960
0.4,1.0,0.5714285714285715,59.142857142857146,0.6810165047645569,1.0000001192092896,0.20017483830451965,0.05054945054945055,5,7,LIPITOR.894
0.3076923076923077,0.5,0.380952380952381,43.529411764705884,0.7740252017974854,1.0000001192092896,0.2182878851890564,0.037529944104338575,12,17,LIPITOR.590
0.125,0.25,0.16666666666666666,16.875,0.5637896656990051,1.0,0.11903746426105499,0.0,4,8,LIPITOR.231
0.2,0.2857142857142857,0.23529411764705882,43.23076923076923,0.8700030446052551,1.0,0.18763864040374756,0.020242914979757085,9,13,LIPITOR.515
0.0,0.0,0.0,0.0,0.6606997847557068,1.0,0.4373268485069275,0.0,3,5,LIPITOR.756
0.047619047619047616,0.0625,0.05405405405405405,9.090909090909092,0.6539700627326965,1.0000004768371582,0.19161272048950195,0.02097902097902098,17,22,LIPITOR.97
0.0,0.0,0.0,0.0,0.4323301315307617,0.8591700792312622,0.11206556856632233,0.0,3,11,LIPITOR.946
0.1111111111111111,0.2,0.14285714285714285,11.7,0.6611919403076172,1.0000001192092896,0.33910512924194336,0.0,5,10,LIPITOR.240
0.5,0.75,0.6,50.0,0.7842670679092407,1.0,0.26798179745674133,0.0,5,8,LIPITOR.51
0.4,0.2857142857142857,0.3333333333333333,60.833333333333336,0.9353067278862,1.0000001192092896,0.6023845076560974,0.02631578947368421,15,12,ARTHROTEC.59
0.125,0.25,0.16666666666666666,19.214285714285715,0.6015926003456116,1.0,0.30466029047966003,0.011904761904761904,5,14,LIPITOR.909
0.25,0.42857142857142855,0.3157894736842105,41.166666666666664,0.7591021060943604,1.0000001192092896,0.28869280219078064,0.0,8,12,PENNSAID.1
0.1111111111111111,0.6666666666666666,0.1904761904761905,28.714285714285715,0.42132577300071716,1.0000001192092896,0.13342350721359253,0.0,5,21,LIPITOR.246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,LIPITOR.299
0.26666666666666666,0.26666666666666666,0.26666666666666666,34.1875,0.9118415117263794,1.0000005960464478,0.3272191882133484,0.11531648152572066,17,16,LIPITOR.652
0.7,0.7,0.7,85.07692307692308,0.9379665851593018,1.0000001192092896,0.5576056241989136,0.023076923076923075,13,13,LIPITOR.395
0.16666666666666666,0.2222222222222222,0.1904761904761905,25.387096774193548,0.7838849425315857,1.0000003576278687,0.22195769846439362,0.03512544802867383,21,31,LIPITOR.925
0.14285714285714285,0.4444444444444444,0.21621621621621623,28.5,0.555831789970398,1.0000001192092896,0.17120361328125,0.024646464646464646,11,30,LIPITOR.592
0.1,0.125,0.11111111111111112,15.384615384615385,0.8841131925582886,1.0,0.3578379452228546,0.0,10,13,LIPITOR.718
