file,precision,recall,f1,fuzzy_score,semantic_similarity,boundary_overlap,orig_count,proc_count
ARTHROTEC.51,0.0,0.0,0.0,61.25,0.740585446357727,0.39087301587301587,3,4
LIPITOR.748,0.0,0.0,0.0,34.333333333333336,0.37575897574424744,0.018518518518518517,2,9
LIPITOR.554,0.0,0.0,0.0,73.25,0.8276277780532837,0.22904040404040404,3,4
LIPITOR.882,0.1111111111111111,0.4,0.1739130434782609,49.77777777777778,0.5130176544189453,0.05,5,18
LIPITOR.934,0.07692307692307693,0.09090909090909091,0.08333333333333334,88.23076923076923,0.9069540500640869,0.42607748140522933,11,13
LIPITOR.428,0.1111111111111111,0.14285714285714285,0.125,79.5,0.8382413983345032,0.22307692307692312,7,10
LIPITOR.508,0.058823529411764705,0.14285714285714285,0.08333333333333333,55.68421052631579,0.6111912131309509,0.11286805299963194,7,19
LIPITOR.611,0.2,0.25,0.22222222222222224,84.0,0.8487011790275574,0.1917989417989418,8,9
LIPITOR.926,0.15384615384615385,0.13333333333333333,0.14285714285714288,70.21739130434783,0.750832736492157,0.0687558609972403,18,23
LIPITOR.434,0.16666666666666666,0.3333333333333333,0.2222222222222222,53.666666666666664,0.6803190112113953,0.24542483660130718,3,6
ARTHROTEC.15,0.25,0.4,0.3076923076923077,67.11111111111111,0.6994132995605469,0.11507936507936506,6,9
LIPITOR.837,0.0,0.0,0.0,100.0,1.0000001192092896,0.8636363636363636,1,1
LIPITOR.166,0.0,0.0,0.0,100.0,1.0000001192092896,0.875,1,1
LIPITOR.956,0.08333333333333333,0.14285714285714285,0.10526315789473685,56.9375,0.6012359857559204,0.10709325396825398,7,16
LIPITOR.753,0.0,0.0,0.0,78.9090909090909,0.8101294040679932,0.4440166230488811,8,11
LIPITOR.682,0.0,0.0,0.0,62.22222222222222,0.6945070624351501,0.2785098267554408,5,9
LIPITOR.961,0.08333333333333333,0.2,0.11764705882352941,64.6875,0.6706486940383911,0.15022581585081585,8,16
LIPITOR.887,0.10714285714285714,0.15,0.125,60.45945945945946,0.664455771446228,0.11072191042356372,21,37
LIPITOR.94,0.2,0.5,0.28571428571428575,55.76923076923077,0.6186549067497253,0.05631868131868131,5,13
ARTHROTEC.112,0.0,0.0,0.0,58.23076923076923,0.6209564208984375,0.14699524948787196,6,13
LIPITOR.670,0.0,0.0,0.0,33.125,0.4611511826515198,0.075,1,8
LIPITOR.432,0.14285714285714285,0.5,0.22222222222222224,53.0,0.5846326947212219,0.08888888888888889,2,9
LIPITOR.604,0.0,0.0,0.0,85.0,0.9322624206542969,0.2,4,5
LIPITOR.153,0.7142857142857143,0.7142857142857143,0.7142857142857143,87.14285714285714,0.9335500597953796,0.1312358276643991,7,7
ARTHROTEC.21,0.0,0.0,0.0,63.0,0.7241711616516113,0.072,3,5
VOLTAREN.40,0.3333333333333333,0.3076923076923077,0.32,93.5625,0.9516655206680298,0.279691478864273,16,16
VOLTAREN-XR.1,0.0,0.0,0.0,83.66666666666667,0.857133686542511,0.39648403415947275,7,9
LIPITOR.373,0.4,0.6666666666666666,0.5,55.714285714285715,0.6218613386154175,0.012987012987012988,4,7
LIPITOR.302,0.14285714285714285,0.4,0.21052631578947364,59.06666666666667,0.5911425352096558,0.018860877684407095,8,15
LIPITOR.510,0.5,1.0,0.6666666666666666,68.0,0.6146932244300842,0.0,1,2
CATAFLAM.6,0.0,0.0,0.0,54.5,0.565744161605835,0.21296296296296294,3,6
LIPITOR.469,0.0,0.0,0.0,55.1,0.6178558468818665,0.3097941139320449,5,10
LIPITOR.64,0.2857142857142857,0.4,0.3333333333333333,69.75,0.693001389503479,0.23076690821256038,5,8
LIPITOR.376,0.25,0.4,0.3076923076923077,59.0,0.6462313532829285,0.18818181818181817,7,10
LIPITOR.717,0.0,0.0,0.0,35.57142857142857,0.3468174934387207,0.0,1,7
LIPITOR.217,0.125,0.16666666666666666,0.14285714285714288,67.3,0.6816705465316772,0.06584325396825397,16,20
LIPITOR.498,0.13333333333333333,0.25,0.1739130434782609,70.0,0.7256014943122864,0.19695702701758067,9,17
LIPITOR.862,0.0,0.0,0.0,33.5,0.3462299108505249,0.0,1,4
LIPITOR.435,0.0,0.0,0.0,85.71428571428571,0.869577944278717,0.19047619047619047,5,7
ARTHROTEC.104,0.1111111111111111,0.25,0.15384615384615383,62.77777777777778,0.6625300645828247,0.191017316017316,4,9
LIPITOR.916,0.4,0.5,0.4444444444444445,79.71428571428571,0.7975239157676697,0.047619047619047616,6,7
ARTHROTEC.67,0.14285714285714285,0.25,0.18181818181818182,53.57142857142857,0.6830557584762573,0.30656502367028676,4,7
LIPITOR.943,0.0,0.0,0.0,51.55555555555556,0.5345789194107056,0.10007309941520467,5,9
LIPITOR.327,0.3181818181818182,0.30434782608695654,0.31111111111111117,88.96551724137932,0.9042662978172302,0.21180223789116712,29,29
LIPITOR.140,0.14285714285714285,0.25,0.18181818181818182,60.714285714285715,0.6725705862045288,0.09706632653061224,4,7
LIPITOR.200,0.09090909090909091,0.125,0.10526315789473685,79.66666666666667,0.8007423281669617,0.26886280721966205,9,12
LIPITOR.74,0.26666666666666666,0.4444444444444444,0.33333333333333337,69.0625,0.753980278968811,0.13446944567300606,10,16
LIPITOR.100,0.0,0.0,0.0,67.0,0.706556499004364,0.1796296296296296,4,6
